12/12/2025 17:49:48	System Memory	Sin procesar	Objeto no procesado		Omitido	Archivo		System Memory	Sin procesar				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\images\nap_global\hub_background_en-us.webp	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//images/nap_global	hub_background_en-us.webp	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\images\nap_global\hub_background_en-us.webp	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//images/nap_global	hub_background_en-us.webp	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\main_1_12_0_4c565596fa479405f4ed.css	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//	main_1_12_0_4c565596fa479405f4ed.css	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\main_1_12_0_4c565596fa479405f4ed.css	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//	main_1_12_0_4c565596fa479405f4ed.css	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\images\nap_global\launcher_background_en-us.webp	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//images/nap_global	launcher_background_en-us.webp	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\images\nap_global\launcher_background_en-us.webp	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//images/nap_global	launcher_background_en-us.webp	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\vendors_1_12_0_552f1399bf20a34020a3.css	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//	vendors_1_12_0_552f1399bf20a34020a3.css	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\vendors_1_12_0_552f1399bf20a34020a3.css	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//	vendors_1_12_0_552f1399bf20a34020a3.css	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\main_1_12_0_os_dc3acdf9f7f1f8fd251a.js.LICENSE.txt	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//	main_1_12_0_os_dc3acdf9f7f1f8fd251a.js.LICENSE.txt	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\main_1_12_0_os_dc3acdf9f7f1f8fd251a.js.LICENSE.txt	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//	main_1_12_0_os_dc3acdf9f7f1f8fd251a.js.LICENSE.txt	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\vendors_1_12_0_os_e0941e098df706145013.js.LICENSE.txt	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//	vendors_1_12_0_os_e0941e098df706145013.js.LICENSE.txt	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\vendors_1_12_0_os_e0941e098df706145013.js.LICENSE.txt	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//	vendors_1_12_0_os_e0941e098df706145013.js.LICENSE.txt	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\main_1_12_0_os_dc3acdf9f7f1f8fd251a.js	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//	main_1_12_0_os_dc3acdf9f7f1f8fd251a.js	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\main_1_12_0_os_dc3acdf9f7f1f8fd251a.js	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//	main_1_12_0_os_dc3acdf9f7f1f8fd251a.js	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\vendors_1_12_0_os_e0941e098df706145013.js	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//	vendors_1_12_0_os_e0941e098df706145013.js	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\vendors_1_12_0_os_e0941e098df706145013.js	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//	vendors_1_12_0_os_e0941e098df706145013.js	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:01:25	C:\Program Files\Lenovo\LegionSpace\1.4.12.13\se\plugins\SEGameHL\SEGameHLCapture\SEGameHLCapture(Source)_1.0.95.22060.zip\ThirdParty\zlib-1.3.1\zlib-1.3.1.zip\zlib-1.3.1\contrib\dotzlib\DotZLib.chm\Documentation.hhc	Dañado	Objeto dañado			Archivo	C:\Program Files\Lenovo\LegionSpace\1.4.12.13\se\plugins\SEGameHL\SEGameHLCapture\SEGameHLCapture(Source)_1.0.95.22060.zip//ThirdParty/zlib-1.3.1/zlib-1.3.1.zip//zlib-1.3.1/contrib/dotzlib/DotZLib.chm//	Documentation.hhc	Dañado				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:01:25	C:\Program Files\Lenovo\LegionSpace\1.4.12.13\se\plugins\SEGameHL\SEGameHLCapture\SEGameHLCapture(Source)_1.0.95.22060.zip\ThirdParty\zlib-1.3.1\zlib-1.3.1.zip\zlib-1.3.1\contrib\dotzlib\DotZLib.chm\Documentation.hhk	Dañado	Objeto dañado			Archivo	C:\Program Files\Lenovo\LegionSpace\1.4.12.13\se\plugins\SEGameHL\SEGameHLCapture\SEGameHLCapture(Source)_1.0.95.22060.zip//ThirdParty/zlib-1.3.1/zlib-1.3.1.zip//zlib-1.3.1/contrib/dotzlib/DotZLib.chm//	Documentation.hhk	Dañado				LAPTOP-04F40974\User	Iniciador
